,schoolcode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
250,101903005,2018,0.0,0,0.0,0.0,0.0,342,88.8889,1.462,37.4269,57.0175,2.924
251,101903006,2018,0.0,0,0.0,0.0,0.0,815,65.1534,4.908,12.0245,17.4233,64.5399
252,101903011,2018,0.0,0,0.0,0.0,0.0,114,85.9649,0.8772,44.7368,54.386,0.0
253,101903012,2018,0.0,0,0.0,0.0,0.0,408,82.1078,1.7157,23.0392,52.6961,20.3431
254,101906105,2018,0.0,0,0.0,0.0,0.0,37,70.2703,32.4324,24.3243,43.2432,0.0
255,101908007,2018,0.0,0,0.0,0.0,0.0,13,46.1538,23.0769,7.6923,69.2308,0.0
256,101911006,2018,0.0,0,0.0,0.0,0.0,204,81.8627,19.1176,27.451,51.4706,0.4902
257,101911012,2018,0.0,0,0.0,0.0,0.0,23,86.9565,4.3478,34.7826,60.8696,0.0
258,101911014,2018,0.0,0,0.0,0.0,0.0,5,60.0,40.0,20.0,40.0,0.0
259,101911016,2018,0.0,0,0.0,0.0,0.0,390,68.2051,11.0256,9.4872,75.641,1.5385
260,101912345,2018,0.0,0,0.0,0.0,0.0,487,86.4476,1.0267,1.848,93.4292,3.0801
