,schoolcode,district,county,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
158,140702030006,3,06,2018,0.0,82,0.0,0.0,0.0,159,50.9434,76.7296,11.9497,3.7736,3.7736
159,140703020003,2,03,2018,0.0,82,0.0,0.0,0.0,106,66.0377,49.0566,32.0755,10.3774,2.8302
160,140707030003,3,03,2018,0.0,83,0.0,0.0,0.0,138,39.1304,88.4058,0.7246,3.6232,3.6232
161,140709030004,3,04,2018,0.0,56,0.0,0.0,0.0,103,62.1359,81.5534,9.7087,5.8252,0.9709
162,140801060006,6,06,2018,0.0,95,0.0,0.0,0.0,269,15.6134,89.2193,1.8587,4.0892,2.6022
163,141101060001,6,01,2018,0.0,83,0.0,0.0,0.0,115,41.7391,90.4348,0.0,6.9565,0.0
164,141201060001,6,01,2018,0.0,79,0.0,0.0,0.0,117,25.641,95.7265,0.8547,2.5641,0.0
165,141301060006,6,06,2018,0.0,85,0.0,0.0,0.0,137,24.8175,94.8905,0.0,2.9197,0.0
166,141401060003,6,03,2018,0.0,78,0.0,0.0,0.0,167,53.8922,76.0479,2.994,2.3952,0.0
167,141501060004,6,04,2018,0.0,83,0.0,0.0,0.0,228,35.5263,88.1579,2.6316,3.5088,3.9474
168,141601060007,6,07,2018,0.0,92,0.0,0.0,0.0,235,24.2553,93.1915,0.8511,4.2553,0.4255
169,141604060008,6,08,2018,0.0,90,0.0,0.0,0.0,337,42.1365,86.0534,1.4837,5.9347,2.6706
170,141701040001,4,01,2018,0.0,95,0.0,0.0,0.0,76,25.0,98.6842,1.3158,0.0,0.0
171,141800010008,1,08,2018,0.0,47,0.0,0.0,0.0,186,90.3226,65.0538,17.7419,13.9785,1.0753
173,142101040002,4,02,2018,0.0,96,0.0,0.0,0.0,114,35.9649,81.5789,0.0,1.7544,0.0
174,142201040001,4,01,2018,0.0,90,0.0,0.0,0.0,39,43.5897,97.4359,0.0,2.5641,0.0
175,141901060008,6,08,2018,0.0,87,0.0,0.0,0.0,326,35.5828,89.8773,2.454,2.7607,2.454
176,142301060006,6,06,2018,0.0,95,0.0,0.0,0.0,326,16.5644,93.5583,1.5337,2.454,2.1472
177,142500010009,1,09,2018,0.0,87,0.0,0.0,0.0,147,44.898,85.7143,2.0408,6.8027,0.0
178,142601030025,3,25,2018,0.0,85,0.0,0.0,0.0,228,46.0526,83.7719,5.7018,4.8246,3.0702
179,142601030026,3,26,2018,0.0,80,0.0,0.0,0.0,377,47.4801,77.7188,6.366,9.5491,2.3873
181,142801060010,6,10,2018,0.0,79,0.0,0.0,0.0,286,46.1538,82.8671,5.2448,7.3427,1.049
182,142801060016,6,16,2018,0.0,80,0.0,0.0,0.0,201,47.2637,86.5672,6.9652,2.9851,0.4975
183,150203040001,4,01,2018,0.0,74,0.0,0.0,0.0,23,73.913,100.0,0.0,0.0,0.0
184,150601040001,4,01,2018,0.0,100,0.0,0.0,0.0,13,15.3846,100.0,0.0,0.0,0.0
185,150801040001,4,01,2018,0.0,100,0.0,0.0,0.0,10,30.0,100.0,0.0,0.0,0.0
186,150901040004,4,04,2018,0.0,79,0.0,0.0,0.0,56,37.5,98.2143,1.7857,0.0,0.0
187,151001040001,4,01,2018,0.0,0,0.0,0.0,0.0,3,33.3333,100.0,0.0,0.0,0.0
188,151102040001,4,01,2018,0.0,75,0.0,0.0,0.0,67,46.2687,92.5373,1.4925,0.0,4.4776
189,151401040001,4,01,2018,0.0,77,0.0,0.0,0.0,31,58.0645,100.0,0.0,0.0,0.0
190,151501060001,6,01,2018,0.0,85,0.0,0.0,0.0,40,35.0,100.0,0.0,0.0,0.0
191,151701040001,4,01,2018,0.0,83,0.0,0.0,0.0,18,55.5556,94.4444,0.0,0.0,0.0
192,160101060001,6,01,2018,0.0,73,0.0,0.0,0.0,56,58.9286,91.0714,1.7857,1.7857,1.7857
193,160801040002,4,02,2018,0.0,81,0.0,0.0,0.0,32,56.25,96.875,0.0,0.0,3.125
194,161201040002,4,02,2018,0.0,79,0.0,0.0,0.0,130,74.6154,33.8462,0.0,0.0,0.0
195,161401060002,6,02,2018,0.0,68,0.0,0.0,0.0,82,51.2195,98.7805,0.0,0.0,0.0
196,161501060014,6,14,2018,0.0,66,0.0,0.0,0.0,174,55.7471,97.1264,1.7241,0.5747,0.0
197,161601040002,4,02,2018,0.0,65,0.0,0.0,0.0,63,53.9683,100.0,0.0,0.0,0.0
198,161801040001,4,01,2018,0.0,60,0.0,0.0,0.0,15,60.0,86.6667,0.0,0.0,0.0
199,170500010008,1,08,2018,0.0,100,0.0,0.0,0.0,25,40.0,84.0,0.0,0.0,4.0
200,170500010009,1,09,2018,0.0,47,0.0,0.0,0.0,233,57.5107,87.9828,5.5794,4.721,0.0
201,170600010006,1,06,2018,0.0,58,0.0,0.0,0.0,123,55.2846,91.8699,2.439,3.252,0.813
202,170801040002,4,02,2018,0.0,81,0.0,0.0,0.0,72,41.6667,97.2222,0.0,1.3889,1.3889
203,170901040001,4,01,2018,0.0,100,0.0,0.0,0.0,32,50.0,90.625,0.0,3.125,3.125
204,171102040004,4,04,2018,0.0,84,0.0,0.0,0.0,134,56.7164,96.2687,1.4925,2.2388,0.0
205,180202040003,4,03,2018,0.0,90,0.0,0.0,0.0,61,26.2295,96.7213,1.6393,0.0,1.6393
206,180300010006,1,06,2018,0.0,68,0.0,0.0,0.0,151,64.2384,64.9007,14.5695,5.9603,1.9868
207,180701040001,4,01,2018,0.0,77,0.0,0.0,0.0,79,41.7722,86.0759,3.7975,6.3291,1.2658
208,180901040002,4,02,2018,0.0,97,0.0,0.0,0.0,35,34.2857,71.4286,2.8571,22.8571,0.0
209,181001060002,6,02,2018,0.0,84,0.0,0.0,0.0,100,43.0,91.0,4.0,2.0,1.0
210,181101040001,4,01,2018,0.0,92,0.0,0.0,0.0,75,50.6667,89.3333,4.0,6.6667,0.0
211,181201040001,4,01,2018,0.0,91,0.0,0.0,0.0,45,44.4444,97.7778,0.0,2.2222,0.0
212,181302040002,4,02,2018,0.0,91,0.0,0.0,0.0,85,43.5294,94.1176,0.0,2.3529,0.0
213,190301040003,4,03,2018,0.0,86,0.0,0.0,0.0,66,56.0606,66.6667,6.0606,15.1515,0.0
214,190401060003,6,03,2018,0.0,74,0.0,0.0,0.0,104,49.0385,66.3462,12.5,9.6154,1.9231
215,190501040001,4,01,2018,0.0,69,0.0,0.0,0.0,103,43.6893,82.5243,9.7087,4.8544,2.9126
216,190701040004,4,04,2018,0.0,65,0.0,0.0,0.0,84,36.9048,95.2381,1.1905,2.381,1.1905
217,190901040001,4,01,2018,0.0,88,0.0,0.0,0.0,25,52.0,76.0,0.0,0.0,20.0
218,191401040001,4,01,2018,0.0,100,0.0,0.0,0.0,29,48.2759,86.2069,3.4483,3.4483,3.4483
219,200401040001,4,01,2018,0.0,100,0.0,0.0,0.0,9,33.3333,100.0,0.0,0.0,0.0
220,200701040001,4,01,2018,0.0,60,0.0,0.0,0.0,5,20.0,100.0,0.0,0.0,0.0
221,200901040001,4,01,2018,0.0,79,0.0,0.0,0.0,19,36.8421,100.0,0.0,0.0,0.0
222,210302040003,4,03,2018,0.0,84,0.0,0.0,0.0,49,36.7347,89.7959,0.0,6.1224,0.0
223,210402060001,6,01,2018,0.0,79,0.0,0.0,0.0,58,44.8276,96.5517,0.0,0.0,0.0
224,210601060005,6,05,2018,0.0,79,0.0,0.0,0.0,80,57.5,83.75,5.0,2.5,2.5
225,210800050005,5,05,2018,0.0,46,0.0,0.0,0.0,78,58.9744,94.8718,1.2821,2.5641,1.2821
226,211003040002,4,02,2018,0.0,84,0.0,0.0,0.0,79,63.2911,98.7342,0.0,1.2658,0.0
227,211103040001,4,01,2018,0.0,94,0.0,0.0,0.0,35,37.1429,100.0,0.0,0.0,0.0
228,211701040001,4,01,2018,0.0,78,0.0,0.0,0.0,18,61.1111,100.0,0.0,0.0,0.0
229,211901020001,2,01,2018,0.0,94,0.0,0.0,0.0,31,38.7097,96.7742,0.0,3.2258,0.0
230,212001040003,4,03,2018,0.0,69,0.0,0.0,0.0,91,54.9451,89.011,1.0989,6.5934,2.1978
231,212101040005,4,05,2018,0.0,75,0.0,0.0,0.0,138,85.5072,95.6522,2.1739,0.0,0.7246
232,220101040002,4,02,2018,0.0,79,0.0,0.0,0.0,120,46.6667,94.1667,0.8333,2.5,0.0
233,220202040002,4,02,2018,0.0,85,0.0,0.0,0.0,48,43.75,93.75,4.1667,2.0833,0.0
234,220301060007,6,07,2018,0.0,88,0.0,0.0,0.0,291,48.7973,64.2612,13.0584,15.4639,3.0928
235,220401040004,4,04,2018,0.0,92,0.0,0.0,0.0,112,28.5714,95.5357,0.8929,2.6786,0.0
236,220701040003,4,03,2018,0.0,81,0.0,0.0,0.0,53,54.717,90.566,1.8868,0.0,0.0
237,220909040010,4,10,2018,0.0,94,0.0,0.0,0.0,31,61.2903,90.3226,0.0,3.2258,0.0
238,221001040001,4,01,2018,0.0,87,0.0,0.0,0.0,39,38.4615,92.3077,0.0,2.5641,0.0
239,221301040001,4,01,2018,0.0,83,0.0,0.0,0.0,30,50.0,93.3333,6.6667,0.0,0.0
240,221401040001,4,01,2018,0.0,92,0.0,0.0,0.0,50,46.0,92.0,0.0,0.0,2.0
241,222000010016,1,16,2018,0.0,73,0.0,0.0,0.0,240,89.5833,68.75,10.0,12.9167,0.4167
242,222201060001,6,01,2018,0.0,78,0.0,0.0,0.0,218,50.0,72.0183,9.633,10.0917,2.7523
243,230201040001,4,01,2018,0.0,82,0.0,0.0,0.0,34,47.0588,88.2353,2.9412,2.9412,0.0
244,230301040002,4,02,2018,0.0,85,0.0,0.0,0.0,26,65.3846,84.6154,0.0,0.0,7.6923
245,230901040002,4,02,2018,0.0,91,0.0,0.0,0.0,92,45.6522,94.5652,3.2609,1.087,1.087
