,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
126,142601030025,3,25,2017,0.0,90.0,0.0,0.0,0.0,238,35.2941,86.5546,6.7227,3.7815,0.4202
127,142201040001,4,01,2017,0.0,92.0,0.0,0.0,0.0,51,49.0196,86.2745,3.9216,9.8039,0.0
128,142301060006,6,06,2017,0.0,98.0,0.0,0.0,0.0,382,14.3979,92.6702,0.7853,1.5707,2.6178
129,142500010009,1,09,2017,0.0,84.0,0.0,0.0,0.0,140,45.7143,92.8571,2.8571,2.8571,0.0
130,142601030026,3,26,2017,0.0,92.0,0.0,0.0,0.0,296,40.2027,80.4054,7.7703,7.0946,1.6892
131,142801060010,6,10,2017,0.0,86.0,0.0,0.0,0.0,292,37.6712,95.8904,2.0548,1.3699,0.0
132,142801060016,6,16,2017,0.0,86.0,0.0,0.0,0.0,263,34.981,92.3954,2.2814,1.1407,1.5209
133,150203040001,4,01,2017,0.0,94.0,0.0,0.0,0.0,19,57.8947,100.0,0.0,0.0,0.0
134,150801040001,4,01,2017,0.0,89.0,0.0,0.0,0.0,8,50.0,100.0,0.0,0.0,0.0
135,150901040004,4,04,2017,0.0,89.0,0.0,0.0,0.0,46,50.0,95.6522,2.1739,2.1739,0.0
136,151001040001,4,01,2017,0.0,101.0,0.0,0.0,0.0,6,16.6667,66.6667,0.0,0.0,33.3333
137,151102040001,4,01,2017,0.0,95.0,0.0,0.0,0.0,57,43.8596,87.7193,0.0,3.5088,5.2632
138,160101060001,6,01,2017,0.0,87.0,0.0,0.0,0.0,52,50.0,100.0,0.0,0.0,0.0
139,160801040002,4,02,2017,0.0,100.0,0.0,0.0,0.0,38,50.0,100.0,0.0,0.0,0.0
140,161201040002,4,02,2017,0.0,89.0,0.0,0.0,0.0,97,80.4124,32.9897,0.0,2.0619,0.0
141,161401060002,6,02,2017,0.0,96.0,0.0,0.0,0.0,92,30.4348,96.7391,0.0,1.087,2.1739
142,161501060014,6,14,2017,0.0,89.0,0.0,0.0,0.0,184,52.1739,94.5652,1.087,1.087,2.1739
143,161601040002,4,02,2017,0.0,74.0,0.0,0.0,0.0,71,56.338,98.5915,0.0,0.0,0.0
144,161801040001,4,01,2017,0.0,73.0,0.0,0.0,0.0,26,61.5385,100.0,0.0,0.0,0.0
145,170500010009,1,09,2017,0.0,75.0,0.0,0.0,0.0,204,46.0784,88.7255,5.3922,1.9608,0.4902
146,170600010006,1,06,2017,0.0,86.0,0.0,0.0,0.0,143,38.4615,95.8042,2.0979,1.3986,0.0
147,170801040002,4,02,2017,0.0,97.0,0.0,0.0,0.0,71,45.0704,100.0,0.0,0.0,0.0
148,170901040001,4,01,2017,0.0,84.0,0.0,0.0,0.0,44,63.6364,97.7273,0.0,0.0,0.0
149,171102040004,4,04,2017,0.0,88.0,0.0,0.0,0.0,127,29.9213,96.8504,0.7874,1.5748,0.7874
150,180300010006,1,06,2017,0.0,86.0,0.0,0.0,0.0,188,52.1277,77.6596,4.2553,10.6383,1.0638
151,180701040001,4,01,2017,0.0,89.0,0.0,0.0,0.0,85,37.6471,89.4118,4.7059,4.7059,1.1765
152,180901040002,4,02,2017,0.0,88.0,0.0,0.0,0.0,25,40.0,84.0,0.0,16.0,0.0
153,181001060002,6,02,2017,0.0,95.0,0.0,0.0,0.0,90,32.2222,93.3333,2.2222,3.3333,1.1111
154,181101040001,4,01,2017,0.0,87.0,0.0,0.0,0.0,56,48.2143,92.8571,1.7857,5.3571,0.0
155,181201040001,4,01,2017,0.0,95.0,0.0,0.0,0.0,65,44.6154,96.9231,0.0,3.0769,0.0
156,181302040002,4,02,2017,0.0,83.0,0.0,0.0,0.0,74,32.4324,94.5946,1.3514,1.3514,0.0
157,190301040003,4,03,2017,0.0,89.0,0.0,0.0,0.0,87,41.3793,85.0575,0.0,6.8966,0.0
158,190401060003,6,03,2017,0.0,79.0,0.0,0.0,0.0,99,41.4141,65.6566,17.1717,11.1111,1.0101
159,190501040001,4,01,2017,0.0,83.0,0.0,0.0,0.0,99,37.3737,88.8889,3.0303,6.0606,2.0202
160,190701040004,4,04,2017,0.0,89.0,0.0,0.0,0.0,127,30.7087,99.2126,0.0,0.0,0.7874
161,190901040001,4,01,2017,0.0,80.0,0.0,0.0,0.0,20,50.0,90.0,0.0,5.0,5.0
162,200401040001,4,01,2017,0.0,88.0,0.0,0.0,0.0,9,0.0,100.0,0.0,0.0,0.0
163,200701040001,4,01,2017,0.0,89.0,0.0,0.0,0.0,9,33.3333,100.0,0.0,0.0,0.0
164,200901040001,4,01,2017,0.0,90.0,0.0,0.0,0.0,10,60.0,100.0,0.0,0.0,0.0
165,210302040003,4,03,2017,0.0,90.0,0.0,0.0,0.0,53,54.717,98.1132,1.8868,0.0,0.0
166,210402060001,6,01,2017,0.0,89.0,0.0,0.0,0.0,100,41.0,95.0,1.0,1.0,0.0
167,210601060005,6,05,2017,0.0,76.0,0.0,0.0,0.0,87,40.2299,91.954,3.4483,2.2989,0.0
168,210800050005,5,05,2017,0.0,83.0,0.0,0.0,0.0,79,49.3671,96.2025,1.2658,0.0,1.2658
169,211003040002,4,02,2017,0.0,81.0,0.0,0.0,0.0,75,58.6667,100.0,0.0,0.0,0.0
170,211103040001,4,01,2017,0.0,95.0,0.0,0.0,0.0,39,53.8462,92.3077,2.5641,2.5641,0.0
171,211701040001,4,01,2017,0.0,80.0,0.0,0.0,0.0,15,26.6667,93.3333,6.6667,0.0,0.0
172,211901020001,2,01,2017,0.0,100.0,0.0,0.0,0.0,25,48.0,96.0,0.0,4.0,0.0
173,212101040005,4,05,2017,0.0,88.0,0.0,0.0,0.0,168,47.619,94.6429,2.9762,1.1905,0.5952
