,RCDTS,Charter,totaltested,elapass,white,black,hispanic,lowincome,year,closedper,hybridper,inpersonper,virtualper,remote
96,110150050260002,0,18.0,0.278,0.9444444444444444,0.0,0.0,0.0,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
97,110150050260002,0,16.0,0.375,0.9375,0.0,0.0,0.0,2019,0.0,0.0,1.0,0.0,0.0
98,110150050260002,0,18.0,0.389,1.0,0.0,0.0,0.0,2018,0.0,0.0,1.0,0.0,0.0
99,110150050260002,0,19.0,0.053,0.9473684210526316,0.0,0.0526315789473684,0.4210526315789473,2017,0.0,0.0,1.0,0.0,0.0
100,110180030260001,0,51.0,0.373,0.9019607843137256,0.0,0.0,0.3725490196078431,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
101,110180030260001,0,48.0,0.43799999999999994,0.9791666666666666,0.0,0.0,0.0,2019,0.0,0.0,1.0,0.0,0.0
102,110180030260001,0,40.0,0.425,0.95,0.0,0.0,0.425,2018,0.0,0.0,1.0,0.0,0.0
103,110180030260001,0,183.0,0.37799999999999995,0.9672131147540984,0.0,0.0054644808743169,0.4590163934426229,2017,0.0,0.0,1.0,0.0,0.0
104,110180770260001,0,63.0,0.28600000000000003,0.9682539682539684,0.0,0.0,0.365079365079365,2021,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.0,0.4545454545454546
105,110180770260001,0,69.0,0.275,0.9710144927536232,0.0,0.0,0.3188405797101449,2019,0.0,0.0,1.0,0.0,0.0
106,110180770260001,0,62.0,0.306,0.9838709677419356,0.0,0.0,0.4032258064516129,2018,0.0,0.0,1.0,0.0,0.0
107,110180770260001,0,65.0,0.344,0.9692307692307692,0.0,0.0,0.2769230769230769,2017,0.0,0.0,1.0,0.0,0.0
108,110213010260001,0,64.0,0.28200000000000003,0.875,0.0,0.0,0.359375,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
109,110213010260001,0,69.0,0.32299999999999995,0.9565217391304348,0.0,0.0,0.2753623188405797,2019,0.0,0.0,1.0,0.0,0.0
110,110213010260001,0,67.0,0.522,0.9701492537313432,0.0,0.0,0.1940298507462686,2018,0.0,0.0,1.0,0.0,0.0
111,110213010260001,0,73.0,0.534,0.9178082191780822,0.0273972602739726,0.0,0.2328767123287671,2017,0.0,0.0,1.0,0.0,0.0
112,110213020260001,0,45.0,0.155,0.9333333333333332,0.0,0.0,0.3555555555555555,2021,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,0.3181818181818181
113,110213020260001,0,55.0,0.21899999999999997,1.0,0.0,0.0,0.3090909090909091,2019,0.0,0.0,1.0,0.0,0.0
114,110213020260001,0,38.0,0.29,0.9736842105263158,0.0,0.0,0.3684210526315789,2018,0.0,0.0,1.0,0.0,0.0
115,110213020260001,0,45.0,0.289,0.9555555555555556,0.0222222222222222,0.0,0.2666666666666666,2017,0.0,0.0,1.0,0.0,0.0
116,110213050260001,0,68.0,0.309,0.9411764705882352,0.0,0.0,0.3970588235294117,2021,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
117,110213050260001,0,78.0,0.308,0.9487179487179488,0.0,0.0,0.4102564102564102,2019,0.0,0.0,1.0,0.0,0.0
118,110213050260001,0,76.0,0.342,0.9473684210526316,0.0,0.0,0.3421052631578947,2018,0.0,0.0,1.0,0.0,0.0
119,110213050260001,0,64.0,0.359,0.96875,0.015625,0.0,0.296875,2017,0.0,0.0,1.0,0.0,0.0
