,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
137,140301030005,3,05,2019,0.0,99,0.0,0.0,0.0,160,14.375,95.0,0.625,2.5,0.625
138,140600010056,1,56,2019,0.0,96,0.0,0.0,0.0,106,43.3962,38.6792,30.1887,8.4906,17.9245
139,140600010097,1,97,2019,0.0,75,0.0,0.0,0.0,113,71.6814,16.8142,62.8319,14.1593,2.6549
140,140600010098,1,98,2019,0.0,79,0.0,0.0,0.0,307,82.0847,11.7264,57.9805,14.9837,12.7036
141,140600010101,1,01,2019,0.0,61,0.0,0.0,0.0,177,88.1356,5.0847,74.5763,8.4746,11.2994
142,140600010104,1,04,2019,0.0,72,0.0,0.0,0.0,125,87.2,5.6,76.8,16.0,1.6
143,140600010102,1,02,2019,0.0,87,0.0,0.0,0.0,163,40.4908,50.3067,23.3129,7.9755,14.7239
144,140600010105,1,05,2019,0.0,93,0.0,0.0,0.0,295,64.0678,32.8814,35.5932,15.5932,12.5424
145,140600010110,1,10,2019,0.0,72,0.0,0.0,0.0,253,79.4466,33.5968,44.664,14.2292,6.3241
146,140600010128,1,28,2019,0.0,88,0.0,0.0,0.0,104,69.2308,32.6923,27.8846,21.1538,18.2692
147,140600010132,1,32,2019,0.0,66,0.0,0.0,0.0,188,86.7021,5.3191,73.9362,10.6383,9.5745
148,140600010133,1,33,2019,0.0,59,0.0,0.0,0.0,39,76.9231,5.1282,82.0513,10.2564,0.0
149,140600010135,1,35,2019,0.0,79,0.0,0.0,0.0,97,72.1649,9.2784,67.0103,17.5258,2.0619
150,140600010140,1,40,2019,0.0,70,0.0,0.0,0.0,46,84.7826,8.6957,67.3913,10.8696,6.5217
151,140600010308,1,08,2019,0.0,62,0.0,0.0,0.0,192,88.0208,11.4583,41.1458,16.6667,29.1667
156,140701060006,6,06,2019,0.0,77,0.0,0.0,0.0,214,68.2243,40.1869,40.1869,10.2804,7.0093
157,140702030006,3,06,2019,0.0,87,0.0,0.0,0.0,188,49.4681,70.2128,14.3617,4.2553,7.9787
158,140703020003,2,03,2019,0.0,73,0.0,0.0,0.0,111,62.1622,49.5495,37.8378,6.3063,2.7027
159,140707030003,3,03,2019,0.0,92,0.0,0.0,0.0,126,45.2381,92.0635,2.381,1.5873,1.5873
160,140709030004,3,04,2019,0.0,90,0.0,0.0,0.0,105,50.4762,80.0,7.619,6.6667,2.8571
161,140801060006,6,06,2019,0.0,94,0.0,0.0,0.0,382,13.6126,90.5759,1.3089,3.6649,2.6178
162,141101060001,6,01,2019,0.0,95,0.0,0.0,0.0,167,32.3353,93.4132,0.0,3.5928,0.0
163,141201060001,6,01,2019,0.0,91,0.0,0.0,0.0,103,23.301,96.1165,0.9709,1.9417,0.0
164,141301060006,6,06,2019,0.0,100,0.0,0.0,0.0,171,19.883,95.3216,0.0,0.5848,1.7544
165,141401060003,6,03,2019,0.0,87,0.0,0.0,0.0,228,45.1754,79.386,2.193,0.8772,0.8772
166,141501060004,6,04,2019,0.0,96,0.0,0.0,0.0,251,26.2948,86.0558,2.3904,5.5777,3.1873
167,141601060007,6,07,2019,0.0,98,0.0,0.0,0.0,250,22.4,96.0,0.4,1.6,0.8
