,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
667,331600011765,2019,0.0,52,0.0,0.0,0.0,107,81.3084,0.9346,88.785,6.5421,0.9346
668,331600860938,2019,0.0,63,0.0,0.0,0.0,244,70.082,1.6393,78.2787,13.5246,1.6393
669,331700011122,2019,0.0,63,0.0,0.0,0.0,172,83.7209,0.5814,81.3953,9.8837,1.7442
670,331700011382,2019,0.0,49,0.0,0.0,0.0,135,87.4074,2.963,76.2963,14.0741,0.7407
671,331700011408,2019,0.0,56,0.0,0.0,0.0,96,91.6667,4.1667,84.375,10.4167,1.0417
672,331700011524,2019,0.0,37,0.0,0.0,0.0,213,86.8545,9.3897,24.4131,44.1315,19.7183
673,331700011528,2019,0.0,73,0.0,0.0,0.0,96,86.4583,4.1667,71.875,17.7083,2.0833
674,331700011531,2019,0.0,48,0.0,0.0,0.0,166,83.7349,0.6024,90.9639,5.4217,1.8072
675,331700011537,2019,0.0,56,0.0,0.0,0.0,214,76.6355,2.3364,77.1028,15.8879,3.271
676,331700011539,2019,0.0,35,0.0,0.0,0.0,139,81.295,2.8777,74.8201,16.5468,3.5971
677,331700011543,2019,0.0,73,0.0,0.0,0.0,101,80.198,0.9901,78.2178,16.8317,1.9802
678,331700011546,2019,0.0,54,0.0,0.0,0.0,108,69.4444,1.8519,79.6296,15.7407,1.8519
679,331700011547,2019,0.0,40,0.0,0.0,0.0,167,79.0419,4.7904,83.2335,8.3832,2.3952
680,331700011548,2019,0.0,37,0.0,0.0,0.0,198,82.8283,1.0101,76.2626,22.2222,0.0
681,331700011568,2019,0.0,23,0.0,0.0,0.0,40,82.5,2.5,87.5,10.0,0.0
682,331700011590,2019,0.0,74,0.0,0.0,0.0,262,69.4656,1.145,88.9313,4.5802,1.9084
683,331700011600,2019,0.0,51,0.0,0.0,0.0,503,76.9384,0.994,91.4513,5.7654,1.1928
684,331700011745,2019,0.0,79,0.0,0.0,0.0,236,90.2542,0.4237,85.1695,12.2881,1.6949
