,schoolcode,district,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
231,94904003,94904,2018,0.0,0,0.0,0.0,0.0,16,56.25,50.0,6.25,37.5,0.0
232,95902001,95902,2018,0.0,0,0.0,0.0,0.0,41,48.7805,36.5854,0.0,63.4146,0.0
233,95904001,95904,2018,0.0,0,0.0,0.0,0.0,71,71.831,23.9437,0.0,76.0563,0.0
234,96905001,96905,2018,0.0,0,0.0,0.0,0.0,69,52.1739,60.8696,0.0,39.1304,0.0
235,98901001,98901,2018,0.0,0,0.0,0.0,0.0,135,55.5556,45.1852,0.0,52.5926,0.7407
236,98904001,98904,2018,0.0,0,0.0,0.0,0.0,278,56.8345,30.9353,0.0,67.9856,0.3597
237,100903003,100903,2018,0.0,0,0.0,0.0,0.0,5,80.0,20.0,60.0,20.0,0.0
238,100904002,100904,2018,0.0,0,0.0,0.0,0.0,4,50.0,25.0,50.0,25.0,0.0
239,100908001,100908,2018,0.0,0,0.0,0.0,0.0,172,45.3488,95.9302,0.5814,1.1628,0.0
240,100908003,100908,2018,0.0,0,0.0,0.0,0.0,2,100.0,100.0,0.0,0.0,0.0
241,101828001,101828,2018,0.0,0,0.0,0.0,0.0,305,93.4426,0.9836,0.3279,98.0328,0.3279
242,101842001,101842,2018,0.0,0,0.0,0.0,0.0,40,55.0,27.5,2.5,67.5,0.0
243,101858004,101858,2018,0.0,0,0.0,0.0,0.0,618,60.6796,10.5178,16.8285,53.5599,17.7994
244,101858005,101858,2018,0.0,0,0.0,0.0,0.0,298,59.396,17.1141,19.1275,45.302,16.7785
245,101862004,101862,2018,0.0,0,0.0,0.0,0.0,162,50.6173,33.3333,23.4568,30.8642,5.5556
246,101862005,101862,2018,0.0,0,0.0,0.0,0.0,243,40.3292,29.6296,27.1605,22.2222,17.6955
