,schoolcode,totalenroll,whiteenroll,blackenroll,hispanicenroll,lowincomeenroll,attendance,mobility,dropout,graduation,classsize,retention,year,School Mode Score,Charter,DistrictName,SchoolName,SchoolType,EnrollmentTotal
100,130582000170001,882.0,75.6,8.8,5.4,59.5,92.0,18.6,7.7,72.8,21.3,93.4,2019,0.4545454545454545,No,Centralia HSD 200,Centralia High School,Regular school,854
101,130582000170001,905.0,75.2,9.1,5.5,58.2,93.2,12.2,2.4,78.5,18.0,93.3,2018,0.4545454545454545,No,Centralia HSD 200,Centralia High School,Regular school,854
102,130584010260001,208.0,97.6,0.0,0.0,46.2,91.4,6.6,5.5,88.0,14.1,86.5,2021,0.0909090909090909,No,South Central CUD 401,South Central High School,Regular school,202
103,130584010260001,208.0,96.2,0.5,1.4,47.6,93.0,13.8,7.4,80.8,13.6,84.6,2019,0.0909090909090909,No,South Central CUD 401,South Central High School,Regular school,202
104,130584010260001,197.0,95.4,0.0,0.0,44.7,93.4,10.4,3.0,87.5,11.0,88.7,2018,0.0909090909090909,No,South Central CUD 401,South Central High School,Regular school,202
105,130585010260001,100.0,93.0,0.0,0.0,72.0,95.7,4.8,2.9,78.6,12.0,66.7,2021,0.4545454545454545,No,Sandoval CUSD 501,Sandoval Sr High School,Regular school,98
106,130585010260001,105.0,92.4,1.0,0.0,67.6,89.9,18.3,7.0,91.2,15.2,51.5,2019,0.4545454545454545,No,Sandoval CUSD 501,Sandoval Sr High School,Regular school,98
107,130585010260001,118.0,95.8,0.0,0.0,73.7,91.7,16.5,1.7,96.7,15.0,58.8,2018,0.4545454545454545,No,Sandoval CUSD 501,Sandoval Sr High School,Regular school,98
108,130586000160001,666.0,92.9,0.0,1.5,46.4,93.3,9.3,3.8,85.1,22.2,97.5,2021,0.409090909090909,No,Salem CHSD 600,Salem Community High School,Regular school,666
109,130586000160001,646.0,94.1,0.3,1.4,47.4,92.9,12.9,8.4,83.0,21.4,88.0,2019,0.409090909090909,No,Salem CHSD 600,Salem Community High School,Regular school,666
110,130586000160001,686.0,95.0,0.0,0.0,48.4,92.7,8.6,2.6,85.1,17.0,82.5,2018,0.409090909090909,No,Salem CHSD 600,Salem Community High School,Regular school,666
111,130587220260001,60.0,93.3,0.0,0.0,78.3,89.4,11.5,3.4,78.6,11.1,69.6,2021,0.3636363636363636,No,Odin PSD 722,Odin Attendance Center 9-12,Regular school,60
112,130587220260001,69.0,97.1,1.4,0.0,66.7,90.7,23.5,7.7,85.7,11.7,57.9,2019,0.3636363636363636,No,Odin PSD 722,Odin Attendance Center 9-12,Regular school,60
113,130587220260001,72.0,97.2,0.0,0.0,66.7,92.8,9.2,4.2,68.4,15.0,47.6,2018,0.3636363636363636,No,Odin PSD 722,Odin Attendance Center 9-12,Regular school,60
114,130950990160001,408.0,93.9,0.0,3.2,32.8,95.8,6.3,2.1,95.7,20.3,94.5,2021,0.4090909090909091,No,Nashville CHSD 99,Nashville Comm High School,Regular school,408
115,130950990160001,408.0,95.8,0.5,1.0,28.2,96.0,6.5,2.4,88.8,21.5,94.7,2019,0.4090909090909091,No,Nashville CHSD 99,Nashville Comm High School,Regular school,408
116,130950990160001,399.0,96.0,0.0,0.0,28.6,95.7,3.9,1.0,92.5,19.0,94.7,2018,0.4090909090909091,No,Nashville CHSD 99,Nashville Comm High School,Regular school,408
117,150162990250001,1454.0,26.0,7.6,53.6,58.9,84.6,4.9,1.5,89.7,27.2,92.4,2021,0.6363636363636364,No,City of Chicago SD 299,Amundsen High School,Regular school,1454
118,150162990250001,1289.0,16.1,11.2,58.7,75.3,91.3,8.1,3.4,85.8,27.4,92.5,2019,0.6363636363636364,No,City of Chicago SD 299,Amundsen High School,Regular school,1454
119,150162990250001,1227.0,12.3,11.8,59.2,83.4,91.4,9.6,0.7,88.9,23.0,91.0,2018,0.6363636363636364,No,City of Chicago SD 299,Amundsen High School,Regular school,1454
120,150162990250003,731.0,0.0,64.6,34.5,87.6,72.1,6.3,6.2,55.1,23.6,80.0,2021,0.7727272727272727,No,City of Chicago SD 299,Bogan High School,Regular school,731
121,150162990250003,828.0,0.5,60.7,38.4,90.0,83.1,19.8,13.9,56.2,30.1,80.0,2019,0.7727272727272727,No,City of Chicago SD 299,Bogan High School,Regular school,731
122,150162990250003,778.0,0.0,50.3,48.6,92.4,87.7,18.2,2.1,86.8,20.0,79.7,2018,0.7727272727272727,No,City of Chicago SD 299,Bogan High School,Regular school,731
123,150162990250006,435.0,0.0,38.6,60.0,73.8,82.8,5.2,1.9,90.6,21.6,91.5,2021,0.7727272727272727,No,City of Chicago SD 299,Carver Military Academy HS,Regular school,435
124,150162990250006,481.0,1.2,35.6,63.0,85.0,93.3,5.1,1.3,94.0,26.1,89.5,2019,0.7727272727272727,No,City of Chicago SD 299,Carver Military Academy HS,Regular school,435
125,150162990250006,479.0,0.0,40.3,58.5,93.5,91.8,3.1,0.6,97.3,20.0,91.0,2018,0.7727272727272727,No,City of Chicago SD 299,Carver Military Academy HS,Regular school,435
126,150162990250012,284.0,0.0,96.8,0.0,94.4,64.2,14.7,6.8,59.7,32.9,88.2,2021,0.7727272727272727,No,City of Chicago SD 299,Fenger Academy High School,Regular school,284
127,150162990250012,203.0,0.0,96.6,2.0,92.6,83.2,32.5,21.6,35.2,30.2,83.3,2019,0.7727272727272727,No,City of Chicago SD 299,Fenger Academy High School,Regular school,284
128,150162990250012,244.0,0.0,98.0,0.0,97.5,87.0,35.0,0.0,73.7,24.0,78.7,2018,0.7727272727272727,No,City of Chicago SD 299,Fenger Academy High School,Regular school,284
129,150162990250013,598.0,4.3,19.4,75.3,92.3,73.3,13.7,8.2,54.5,22.6,91.3,2021,0.7272727272727272,No,City of Chicago SD 299,Foreman High School,Regular school,598
130,150162990250013,739.0,2.3,21.5,75.1,94.5,84.6,27.2,12.4,59.3,28.6,75.5,2019,0.7272727272727272,No,City of Chicago SD 299,Foreman High School,Regular school,598
131,150162990250013,798.0,2.6,22.1,73.8,95.9,86.5,27.5,0.4,76.4,21.0,78.3,2018,0.7272727272727272,No,City of Chicago SD 299,Foreman High School,Regular school,598
132,150162990250014,1075.0,1.3,2.8,92.5,89.0,87.0,0.7,0.4,98.0,25.1,85.9,2021,0.7727272727272727,No,City of Chicago SD 299,Back of The Yards IB HS,Regular school,1075
133,150162990250014,1067.0,1.3,3.2,91.0,92.9,93.3,4.4,0.8,97.5,25.4,89.0,2019,0.7727272727272727,No,City of Chicago SD 299,Back of The Yards IB HS,Regular school,1075
134,150162990250014,1064.0,1.4,3.1,89.8,95.7,93.3,2.3,0.3,98.8,25.0,91.0,2018,0.7727272727272727,No,City of Chicago SD 299,Back of The Yards IB HS,Regular school,1075
135,150162990250015,317.0,0.0,31.5,66.9,94.0,69.3,10.2,11.1,42.0,19.3,84.8,2021,0.7727272727272727,No,City of Chicago SD 299,Gage Park High School,Regular school,317
136,150162990250015,342.0,0.6,37.7,61.1,97.1,81.4,36.4,20.1,39.5,26.1,75.6,2019,0.7727272727272727,No,City of Chicago SD 299,Gage Park High School,Regular school,317
137,150162990250015,330.0,0.0,38.2,61.2,99.4,90.6,28.2,0.0,85.5,16.0,78.8,2018,0.7727272727272727,No,City of Chicago SD 299,Gage Park High School,Regular school,317
138,150162990250016,294.0,0.0,98.6,0.0,89.5,71.8,14.9,5.2,50.4,26.5,79.5,2021,0.7727272727272727,No,City of Chicago SD 299,Harlan Community Academy HS,Regular school,294
139,150162990250016,328.0,0.3,97.6,1.8,94.8,82.8,31.4,15.2,51.9,26.6,71.8,2019,0.7727272727272727,No,City of Chicago SD 299,Harlan Community Academy HS,Regular school,294
140,150162990250016,382.0,0.0,99.2,0.0,96.6,83.2,33.7,5.0,79.8,18.0,74.1,2018,0.7727272727272727,No,City of Chicago SD 299,Harlan Community Academy HS,Regular school,294
141,150162990250019,84.0,0.0,98.8,0.0,94.0,68.8,34.8,13.1,32.7,16.3,85.7,2021,0.7727272727272727,No,City of Chicago SD 299,Hirsch Metropolitan High School,Regular school,84
142,150162990250019,98.0,0.0,95.9,1.0,99.0,77.0,56.8,27.2,38.2,25.2,73.1,2019,0.7727272727272727,No,City of Chicago SD 299,Hirsch Metropolitan High School,Regular school,84
143,150162990250019,136.0,0.0,98.5,0.0,99.3,80.0,48.0,5.1,73.9,15.0,68.6,2018,0.7727272727272727,No,City of Chicago SD 299,Hirsch Metropolitan High School,Regular school,84
144,150162990250020,1721.0,1.8,5.5,92.2,88.3,86.9,3.7,2.6,79.9,28.8,93.8,2021,0.7727272727272727,No,City of Chicago SD 299,Hubbard High School,Regular school,1721
