,schoolcode,schoolname,districtname,mathpass,totaltested,percenttotaltested,male,female,white,black,hispanic,asian,disability,lowincome,year,schoolmode,SchoolType,EnrollmentTotal
91,130413180270001,Webber High School,Bluford Unit School District 318,0.207,29.0,1.0,0.5517241379310345,0.4482758620689655,1.0,0.0,0.0,0.0,0.0,0.4137931034482758,2019,0.0,Regular school,125
92,130413180270001,Webber High School,Bluford Unit School District 318,0.032,31.0,0.9690000000000001,0.4838709677419355,0.5161290322580645,0.935483870967742,0.0,0.0,0.0,0.0,0.0,2018,0.0,Regular school,125
93,130581000260002,Patoka Sr High School,Patoka CUSD 100,0.154,13.0,0.929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2021,0.2727272727272727,Regular school,75
94,130581000260002,Patoka Sr High School,Patoka CUSD 100,0.083,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,0.2727272727272727,Regular school,75
95,130581000260002,Patoka Sr High School,Patoka CUSD 100,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018,0.2727272727272727,Regular school,75
96,130582000170001,Centralia High School,Centralia HSD 200,0.20800000000000002,144.0,0.804,0.4861111111111111,0.5138888888888888,0.7847222222222222,0.0763888888888889,0.0694444444444444,0.0,0.1666666666666666,0.5416666666666666,2021,0.4545454545454545,Regular school,854
97,130582000170001,Centralia High School,Centralia HSD 200,0.19699999999999998,224.0,0.929,0.4910714285714285,0.5089285714285714,0.7321428571428571,0.1160714285714285,0.0625,0.0,0.1875,0.59375,2019,0.4545454545454545,Regular school,854
98,130582000170001,Centralia High School,Centralia HSD 200,0.19399999999999998,191.0,0.96,0.4921465968586387,0.5078534031413613,0.8010471204188482,0.0785340314136125,0.0,0.0,0.1675392670157068,0.5549738219895288,2018,0.4545454545454545,Regular school,854
99,130584010260001,South Central High School,South Central CUD 401,0.153,59.0,0.983,0.559322033898305,0.4406779661016949,0.9661016949152542,0.0,0.0,0.0,0.0,0.423728813559322,2021,0.0909090909090909,Regular school,202
100,130584010260001,South Central High School,South Central CUD 401,0.10400000000000001,48.0,0.98,0.4791666666666667,0.5208333333333334,0.9583333333333334,0.0,0.0,0.0,0.2083333333333333,0.5416666666666666,2019,0.0909090909090909,Regular school,202
101,130584010260001,South Central High School,South Central CUD 401,0.171,41.0,1.0,0.3658536585365853,0.6341463414634146,0.975609756097561,0.0,0.0,0.0,0.0,0.4146341463414634,2018,0.0909090909090909,Regular school,202
102,130585010260001,Sandoval Sr High School,Sandoval CUSD 501,0.048,21.0,0.955,0.5714285714285714,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.9047619047619048,2021,0.4545454545454545,Regular school,98
103,130585010260001,Sandoval Sr High School,Sandoval CUSD 501,0.0,19.0,0.95,0.0,0.6842105263157895,0.9473684210526316,0.0,0.0,0.0,0.0,0.5789473684210527,2019,0.4545454545454545,Regular school,98
104,130585010260001,Sandoval Sr High School,Sandoval CUSD 501,0.03,33.0,0.971,0.3333333333333333,0.6666666666666666,0.9696969696969696,0.0,0.0,0.0,0.0,0.6666666666666666,2018,0.4545454545454545,Regular school,98
105,130586000160001,Salem Community High School,Salem CHSD 600,0.21,143.0,0.973,0.5594405594405595,0.4405594405594406,0.902097902097902,0.0,0.0,0.0,0.0909090909090909,0.3916083916083916,2021,0.409090909090909,Regular school,666
106,130586000160001,Salem Community High School,Salem CHSD 600,0.278,151.0,0.981,0.4569536423841059,0.543046357615894,0.933774834437086,0.0,0.0,0.0,0.1721854304635761,0.5231788079470199,2019,0.409090909090909,Regular school,666
