,RCDTS,City,County,District Size,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,Year
119,080432100260002,Hanover,Jo Daviess,MEDIUM,176.0,5.2,0.7,1.4,0.0,2.0,94.3,90.5,100.0,100.0,84.6,13.1,91.7,17.6,35.6,2021
120,080432110260002,Scales Mound,Jo Daviess,SMALL,176.0,4.6,0.0,0.0,0.0,0.0,89.5,83.3,,88.9,,9.6,90.9,9.6,35.3,2021
121,080891450220001,Freeport,Stephenson,LARGE,176.0,18.0,9.0,9.3,8.8,10.9,73.0,71.3,74.8,78.0,66.1,18.4,86.8,21.0,25.1,2021
122,080892000260001,Pearl City,Stephenson,SMALL,176.0,4.1,5.0,6.2,3.6,5.0,82.4,78.6,85.0,83.3,86.7,13.7,88.9,6.3,13.6,2021
123,080892010260001,Dakota,Stephenson,MEDIUM,176.0,3.7,2.0,3.0,0.9,3.1,95.2,91.4,100.0,96.6,92.9,14.4,93.2,15.3,30.1,2021
124,080892020260001,Lena,Stephenson,MEDIUM,176.0,7.1,3.7,4.7,2.5,6.0,86.6,81.1,93.3,87.5,80.0,16.4,86.8,7.0,16.2,2021
125,080892030260001,Orangeville,Stephenson,SMALL,176.0,5.2,2.0,3.4,0.0,7.1,89.7,80.0,100.0,89.3,,12.5,94.1,18.6,31.3,2021
126,090100010260001,Fisher,Champaign,MEDIUM,176.0,6.9,2.3,1.2,3.3,2.9,90.9,95.5,86.4,93.0,89.5,15.1,91.8,25.6,45.1,2021
127,090100030260001,Mahomet,Champaign,LARGE,176.0,4.8,4.0,4.4,3.5,11.5,88.6,88.1,89.1,89.8,67.4,21.2,91.2,7.6,25.1,2021
128,090100040260001,Champaign,Champaign,LARGE,176.0,11.9,3.8,5.0,2.6,7.6,83.8,79.9,87.7,92.2,80.1,20.3,85.3,24.7,42.0,2021
129,090100040260002,Champaign,Champaign,LARGE,176.0,11.8,4.0,5.5,2.6,9.7,81.7,78.4,84.7,92.8,72.5,23.0,86.9,25.1,50.3,2021
130,090100070260007,Tolono,Champaign,MEDIUM,176.0,6.2,3.6,5.0,2.3,7.1,75.6,67.5,88.2,77.3,57.1,13.7,84.5,31.0,42.5,2021
131,090100080260001,Broadlands,Champaign,SMALL,176.0,15.6,4.2,4.5,3.8,5.4,85.3,90.5,76.9,84.4,76.9,10.2,87.9,21.6,38.1,2021
132,090101160220001,Urbana,Champaign,LARGE,176.0,10.0,3.2,3.7,2.8,4.6,88.2,87.6,88.9,90.6,82.0,21.5,82.4,29.2,41.7,2021
133,090101930170001,Rantoul,Champaign,MEDIUM,176.0,16.7,5.0,4.9,5.1,5.9,82.6,83.5,81.8,89.2,76.4,15.1,80.0,13.2,14.9,2021
134,090103050160001,Saint Joseph,Champaign,SMALL,176.0,4.8,1.2,0.9,1.4,5.3,96.3,94.8,98.0,96.2,,19.6,94.0,8.9,36.8,2021
135,090270050260001,Gibson City,Ford,MEDIUM,176.0,9.3,0.0,0.0,0.0,0.0,91.4,86.1,97.1,93.8,87.5,14.9,92.8,8.6,17.0,2021
136,090270100260001,Paxton,Ford,MEDIUM,176.0,9.9,2.5,2.5,2.5,4.3,89.5,88.0,90.6,88.3,75.0,12.9,84.0,18.9,26.9,2021
137,11012002C260001,Marshall,Clark,MEDIUM,177.0,8.6,3.1,3.9,2.2,5.3,89.7,88.0,91.5,90.2,81.5,16.4,92.3,24.0,35.2,2021
138,11012003C260001,Martinsville,Clark,SMALL,176.0,11.0,4.0,5.7,2.1,6.9,82.6,100.0,69.2,81.8,63.6,12.1,92.9,35.6,43.2,2021
139,11012004C260001,Casey,Clark,MEDIUM,176.0,8.1,3.7,3.4,3.9,5.6,87.7,87.5,87.8,89.4,79.2,10.9,83.6,8.4,13.3,2021
140,110150010260001,Charleston,Coles,LARGE,176.0,10.3,5.5,5.3,5.8,7.8,72.1,71.1,73.3,73.6,53.6,22.2,87.4,30.9,48.2,2021
141,110150020260001,Mattoon,Coles,LARGE,176.0,11.2,3.1,4.0,2.1,4.5,88.2,85.6,90.7,88.8,81.5,20.5,90.5,28.7,41.0,2021
