,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
143,140600010102,2019,0.0,87,0.0,0.0,0.0,163,40.49079754601227,50.306748466257666,23.31288343558282,7.975460122699387,14.723926380368098
144,140600010105,2019,0.0,93,0.0,0.0,0.0,295,64.0677966101695,32.88135593220339,35.59322033898305,15.593220338983052,12.54237288135593
145,140600010110,2019,0.0,72,0.0,0.0,0.0,253,79.44664031620553,33.59683794466403,44.66403162055336,14.229249011857709,6.324110671936759
146,140600010128,2019,0.0,88,0.0,0.0,0.0,104,69.23076923076923,32.69230769230769,27.884615384615387,21.153846153846153,18.269230769230766
147,140600010132,2019,0.0,66,0.0,0.0,0.0,188,86.70212765957447,5.319148936170213,73.93617021276596,10.638297872340425,9.574468085106384
148,140600010133,2019,0.0,59,0.0,0.0,0.0,39,76.92307692307693,5.128205128205128,82.05128205128204,10.256410256410255,0.0
149,140600010135,2019,0.0,79,0.0,0.0,0.0,97,72.16494845360825,9.278350515463918,67.0103092783505,17.525773195876287,2.0618556701030926
150,140600010140,2019,0.0,70,0.0,0.0,0.0,46,84.78260869565217,8.695652173913043,67.3913043478261,10.869565217391305,6.521739130434782
151,140600010308,2019,0.0,62,0.0,0.0,0.0,192,88.02083333333334,11.458333333333332,41.14583333333333,16.666666666666664,29.166666666666668
156,140701060006,2019,0.0,77,0.0,0.0,0.0,214,68.22429906542055,40.18691588785047,40.18691588785047,10.2803738317757,7.009345794392523
157,140702030006,2019,0.0,87,0.0,0.0,0.0,188,49.46808510638298,70.2127659574468,14.361702127659576,4.25531914893617,7.9787234042553195
158,140703020003,2019,0.0,73,0.0,0.0,0.0,111,62.16216216216216,49.549549549549546,37.83783783783784,6.306306306306306,2.7027027027027026
159,140707030003,2019,0.0,92,0.0,0.0,0.0,126,45.23809523809524,92.06349206349206,2.380952380952381,1.5873015873015872,1.5873015873015872
160,140709030004,2019,0.0,90,0.0,0.0,0.0,105,50.476190476190474,80.0,7.6190476190476195,6.666666666666667,2.857142857142857
161,140801060006,2019,0.0,94,0.0,0.0,0.0,382,13.612565445026178,90.57591623036649,1.3089005235602094,3.664921465968586,2.6178010471204187
